LOCACION;COD_CELDA;COD_PLANO_CELDA;COD_GRILLA;PUNTO;ESTE;NORTE;ALTITUD;PROF;TIPO_COMP;NUM_EVAL;T_SUPERB;AREA;N_SUPERVIS;TPH;PORC_EXCESO;CA;prof
EA2086;AREA-EA2086-2;E5;AREA-EA2086-2-13;L-X,6,PZEA2086-8;481167.651;9528615.031;283;0.15;Area remediada; ;2025;74.78514412;3;47;;0007-4-2025-459;0.15
EA2086;AREA-EA2086-2;E5;AREA-EA2086-2-4;L-X,6,PZEA2086-9;481167.653;9528613.303;283;0.15;Area remediada; ;2025;74.78514412;3;8;;0007-4-2025-462;0.15
EA2086;AREA-EA2086-2;E5;AREA-EA2086-2-11;L-X,6,PZEA2086-10;481165.921;9528613.303;283;0.15;Area remediada; ;2025;74.78514412;3;1001;;0007-4-2025-465;0.15
EA2086;AREA-EA2086-2;E5;AREA-EA2086-2-3;L-X,6,PZEA2086-11;481167.653;9528611.571;283;0.15;Area remediada; ;2025;74.78514412;3;93;;0007-4-2025-468;0.15
EA2056;AREA-EA2056-8;B2;AREA-EA2056-8-4;L-X,6,PZEA2056-1;480578.756;9528729.351;303;0.2;Area remediada; ;2025;25.28953595;3;222;;0007-4-2025-471;0.2
EA2056;AREA-EA2056-8;B2;AREA-EA2056-8-6;L-X,6,PZEA2056-2;480578.757;9528731.081;303;0.2;Area remediada; ;2025;25.28953595;3;331;;0007-4-2025-474;0.2
EA2056;AREA-EA2056-8;B2;AREA-EA2056-8-9;L-X,6,PZEA2056-3;480578.901;9528732.764;303;0.2;Area remediada; ;2025;25.28953595;3;2108;;0007-4-2025-477;0.2
EA2056;AREA-EA2056-8;B2;AREA-EA2056-8-8;L-X,6,PZEA2056-4;480580.463;9528732.789;303;0.2;Area remediada; ;2025;25.28953595;3;78;;0007-4-2025-480;0.2
EA2056;AREA-EA2056-8;B2;AREA-EA2056-8-7;L-X,6,PZEA2056-5;480580.488;9528731.083;303;0.2;Area remediada; ;2025;25.28953595;3;488;;0007-4-2025-483;0.2
EA2056;AREA-EA2056-1;L2;AREA-EA2056-1-2;L-X,6,PZEA2056-6;480651.503;9528765.722;303;0.1;Area remediada; ;2025;30.25276497;3;35;;0007-4-2025-486;0.1
EA2056;AREA-EA2056-1;L2;AREA-EA2056-1-3;L-X,6,PZEA2056-7;480651.743;9528760.545;303;0.1;Area remediada; ;2025;30.25276497;3;106;;0007-4-2025-489;0.1
EA2056;AREA-EA2056-1;L2;AREA-EA2056-1-6;L-X,6,PZEA2056-8;480653.234;9528760.527;303;0.1;Area remediada; ;2025;30.25276497;3;1001;;0007-4-2025-492;0.1
EA2056;AREA-EA2056-1;L2;AREA-EA2056-1-4;L-X,6,PZEA2056-9;480653.234;9528758.795;303;0.1;Area remediada; ;2025;30.25276497;3;1018;;0007-4-2025-495;0.1
EA10233;AREA-EA10233-1;B5;AREA-EA10233-1-2;L-X,6,PZEA10223-1;482555.026;9528805.561;298;0.3;Area remediada; ;2025;21.59356118;3;;;;
EA10233;AREA-EA10233-1;B5;AREA-EA10233-1-3;L-X,6,PZEA10223-2;482555.026;9528807.293;298;0.3;Area remediada; ;2025;21.59356118;3;;;;
EA10233;AREA-EA10233-3;B2;AREA-EA10233-3-4;L-X,6,PZEA10223-3;482556.758;9528807.293;298;0.3;Area remediada; ;2025;57.12823935;3;;;;
EA10233;AREA-EA10233-3;B2;AREA-EA10233-3-1;L-X,6,PZEA10223-4;482560.222;9528805.561;298;0.3;Area remediada; ;2025;57.12823935;3;;;;
